OBSERVED,,,,,,,,,EXPECTED ,,,,,,
,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic,SUM,,,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic
1,1.100110011,0.0100220143,,,,,,,,,,,,,
1,0.5500550055,0.2024504981,,,,,,,,,,,,,
1,0.5500550055,0.2024504981,,,,,,,,,,,,,
1,0.5500550055,0.2024504981,,,,,,,,,,,,,
0,0.0015715857,2.46988170674457E-06,,,,,,,,,,,,,
0,0.0793650794,0.0062988158,,,,,,,,,,,,,
3,2.5404683325,0.2111693534,,,,,,,,,,,,,
0,0.0047147572,2.22289353607012E-05,,,,,,,,,,,,,
0,0.9264497878,0.8583092094,,,,,,,,,,,,,
0,0.2247367594,0.050506611,,,,,,,,,,,,,
2,0.5186232909,2.1944769543,,,,,,,,,,,,,
0,0.0259311645,0.0006724253,,,,,,,,,,,,,
0,0.2176646236,0.0473778884,,,,,,,,,,,,,
0,0.4486877259,0.2013206754,,,,,,,,,,,,,
0,0.0078579287,0.000061747,,,,,,,,,,,,,
0,0.0015715857,2.46988170674457E-06,,,,,,,,,,,,,
0,0.0007857929,6.17470426686143E-07,,,,,,,,,,,,,
0,0.0007857929,6.17470426686143E-07,,,,,,,,,,,,,
0,0.0007857929,6.17470426686143E-07,,,,,,,,,,,,,
0,0.4614175703,0.2129061742,,,,,,,,,,,,,
17,23.3015873016,39.7100025195,,,,,,,,,,,,,
337,745.881502436,167184.083034286,,,,,,,,,,,,,
0,1.384252711,1.9161555679,,,,,,,,,,,,,
581,272.0056577086,95477.5035680776,,,,,,,,,,,,,
90,65.982712557,576.8300961211,,,,,,,,,,,,,
175,152.2677982084,516.7529982944,,,,,,,,,,,,,
10,7.6133899104,5.6959077197,,,,,,,,,,,,,
61,63.9063334905,8.446774358,,,,,,,,,,,,,
194,131.7347163288,3876.965550658,,,,,,,,,,,,,
3,2.3070878516,0.4801272453,,,,,,,,,,,,,
